state,year,births
Johor,2000,67183
Johor,2001,61432
Johor,2002,59699
Johor,2003,58230
Johor,2004,57339
Johor,2005,56524
Johor,2006,56737
Johor,2007,57780
Johor,2008,57838
Johor,2009,57849
Johor,2010,56064
Johor,2011,58167
Johor,2012,60444
Johor,2013,57402
Johor,2014,60443
Johor,2015,60543
Johor,2016,59561
Johor,2017,61085
Johor,2018,61084
Johor,2019,60261
Johor,2020,56908
Johor,2021,49990
Johor,2022,48254
Johor,2023,56156
Kedah,2000,41014
Kedah,2001,38073
Kedah,2002,36604
Kedah,2003,35407
Kedah,2004,35059
Kedah,2005,34254
Kedah,2006,33864
Kedah,2007,33963
Kedah,2008,35415
Kedah,2009,36019
Kedah,2010,35128
Kedah,2011,35937
Kedah,2012,36390
Kedah,2013,35032
Kedah,2014,36505
Kedah,2015,36784
Kedah,2016,35967
Kedah,2017,36693
Kedah,2018,35643
Kedah,2019,34511
Kedah,2020,33828
Kedah,2021,33040
Kedah,2022,30796
Kedah,2023,33811
Kelantan,2000,40404
Kelantan,2001,38186
Kelantan,2002,37297
Kelantan,2003,35686
Kelantan,2004,35113
Kelantan,2005,34088
Kelantan,2006,33659
Kelantan,2007,33800
Kelantan,2008,34842
Kelantan,2009,35715
Kelantan,2010,36009
Kelantan,2011,37679
Kelantan,2012,37025
Kelantan,2013,36413
Kelantan,2014,39279
Kelantan,2015,39108
Kelantan,2016,38455
Kelantan,2017,39122
Kelantan,2018,38360
Kelantan,2019,36858
Kelantan,2020,36275
Kelantan,2021,34764
Kelantan,2022,33808
Kelantan,2023,35705
Malacca,2000,15304
Malacca,2001,14317
Malacca,2002,13810
Malacca,2003,13898
Malacca,2004,13548
Malacca,2005,13341
Malacca,2006,12946
Malacca,2007,13444
Malacca,2008,13619
Malacca,2009,13456
Malacca,2010,13010
Malacca,2011,13976
Malacca,2012,14278
Malacca,2013,13692
Malacca,2014,14568
Malacca,2015,14554
Malacca,2016,14402
Malacca,2017,14389
Malacca,2018,14388
Malacca,2019,14136
Malacca,2020,13855
Malacca,2021,13192
Malacca,2022,13105
Malacca,2023,13583
Negeri Sembilan,2000,19243
Negeri Sembilan,2001,17670
Negeri Sembilan,2002,17647
Negeri Sembilan,2003,17272
Negeri Sembilan,2004,17085
Negeri Sembilan,2005,16838
Negeri Sembilan,2006,16622
Negeri Sembilan,2007,17195
Negeri Sembilan,2008,17351
Negeri Sembilan,2009,17360
Negeri Sembilan,2010,16939
Negeri Sembilan,2011,17670
Negeri Sembilan,2012,17903
Negeri Sembilan,2013,17509
Negeri Sembilan,2014,18676
Negeri Sembilan,2015,18423
Negeri Sembilan,2016,18036
Negeri Sembilan,2017,18078
Negeri Sembilan,2018,18177
Negeri Sembilan,2019,17464
Negeri Sembilan,2020,17120
Negeri Sembilan,2021,16777
Negeri Sembilan,2022,15991
Negeri Sembilan,2023,16570
Pahang,2000,29555
Pahang,2001,27613
Pahang,2002,26810
Pahang,2003,26144
Pahang,2004,25899
Pahang,2005,25692
Pahang,2006,24809
Pahang,2007,24958
Pahang,2008,25658
Pahang,2009,26057
Pahang,2010,25946
Pahang,2011,27079
Pahang,2012,27411
Pahang,2013,26968
Pahang,2014,28743
Pahang,2015,28059
Pahang,2016,27626
Pahang,2017,27555
Pahang,2018,27006
Pahang,2019,25887
Pahang,2020,25344
Pahang,2021,24507
Pahang,2022,23568
Pahang,2023,24162
Perak,2000,48589
Perak,2001,43533
Perak,2002,42289
Perak,2003,39822
Perak,2004,39012
Perak,2005,37369
Perak,2006,36835
Perak,2007,36628
Perak,2008,37174
Perak,2009,37203
Perak,2010,36026
Perak,2011,37522
Perak,2012,37712
Perak,2013,35427
Perak,2014,36586
Perak,2015,36284
Perak,2016,35685
Perak,2017,34838
Perak,2018,33869
Perak,2019,33005
Perak,2020,31582
Perak,2021,30816
Perak,2022,29543
Perak,2023,30759
Perlis,2000,4651
Perlis,2001,4340
Perlis,2002,4225
Perlis,2003,4058
Perlis,2004,3964
Perlis,2005,3932
Perlis,2006,3891
Perlis,2007,3946
Perlis,2008,4175
Perlis,2009,4237
Perlis,2010,4114
Perlis,2011,4161
Perlis,2012,4143
Perlis,2013,4050
Perlis,2014,4509
Perlis,2015,4315
Perlis,2016,4392
Perlis,2017,4447
Perlis,2018,4371
Perlis,2019,4060
Perlis,2020,4101
Perlis,2021,4076
Perlis,2022,3746
Perlis,2023,3878
Penang,2000,27337
Penang,2001,24712
Penang,2002,24775
Penang,2003,23467
Penang,2004,22943
Penang,2005,22559
Penang,2006,22003
Penang,2007,22429
Penang,2008,22952
Penang,2009,22777
Penang,2010,21172
Penang,2011,22353
Penang,2012,23794
Penang,2013,21499
Penang,2014,22877
Penang,2015,22242
Penang,2016,21781
Penang,2017,21464
Penang,2018,20705
Penang,2019,20200
Penang,2020,19645
Penang,2021,18571
Penang,2022,17731
Penang,2023,19579
Sabah,2000,49308
Sabah,2001,48990
Sabah,2002,46119
Sabah,2003,44388
Sabah,2004,46170
Sabah,2005,47160
Sabah,2006,46142
Sabah,2007,47017
Sabah,2008,50272
Sabah,2009,52782
Sabah,2010,54134
Sabah,2011,54990
Sabah,2012,58185
Sabah,2013,56823
Sabah,2014,57397
Sabah,2015,54699
Sabah,2016,52071
Sabah,2017,52528
Sabah,2018,53025
Sabah,2019,52973
Sabah,2020,49587
Sabah,2021,41608
Sabah,2022,43617
Sabah,2023,46412
Sarawak,2000,47920
Sarawak,2001,46098
Sarawak,2002,44929
Sarawak,2003,44068
Sarawak,2004,43545
Sarawak,2005,43241
Sarawak,2006,42892
Sarawak,2007,42549
Sarawak,2008,43426
Sarawak,2009,43753
Sarawak,2010,41474
Sarawak,2011,43383
Sarawak,2012,43178
Sarawak,2013,40413
Sarawak,2014,41049
Sarawak,2015,39754
Sarawak,2016,37985
Sarawak,2017,37654
Sarawak,2018,36624
Sarawak,2019,36672
Sarawak,2020,35449
Sarawak,2021,31274
Sarawak,2022,30937
Sarawak,2023,33920
Selangor,2000,91635
Selangor,2001,87758
Selangor,2002,89735
Selangor,2003,89933
Selangor,2004,93176
Selangor,2005,92456
Selangor,2006,94737
Selangor,2007,97055
Selangor,2008,100284
Selangor,2009,103023
Selangor,2010,98429
Selangor,2011,103686
Selangor,2012,107946
Selangor,2013,103173
Selangor,2014,108932
Selangor,2015,108131
Selangor,2016,104661
Selangor,2017,103987
Selangor,2018,102125
Selangor,2019,98836
Selangor,2020,93577
Selangor,2021,90118
Selangor,2022,83658
Selangor,2023,90535
Terengganu,2000,24833
Terengganu,2001,24060
Terengganu,2002,23205
Terengganu,2003,22269
Terengganu,2004,22542
Terengganu,2005,21966
