state,year,death
Johor,2000,12144
Johor,2001,12730
Johor,2002,13459
Johor,2003,13671
Johor,2004,13842
Johor,2005,14152
Johor,2006,14546
Johor,2007,15165
Johor,2008,15926
Johor,2009,15971
Johor,2010,16060
Johor,2011,16479
Johor,2012,17201
Johor,2013,17696
Johor,2014,17904
Johor,2015,18853
Johor,2016,19924
Johor,2017,20662
Johor,2018,21117
Johor,2019,21799
Johor,2020,20680
Johor,2021,27002
Johor,2022,25342
Johor,2023,24705
Kedah,2000,8982
Kedah,2001,9197
Kedah,2002,9925
Kedah,2003,10311
Kedah,2004,10095
Kedah,2005,10280
Kedah,2006,10698
Kedah,2007,10847
Kedah,2008,11071
Kedah,2009,11618
Kedah,2010,11674
Kedah,2011,11869
Kedah,2012,12268
Kedah,2013,12516
Kedah,2014,13017
Kedah,2015,13674
Kedah,2016,13771
Kedah,2017,14332
Kedah,2018,14552
Kedah,2019,14302
Kedah,2020,13674
Kedah,2021,18470
Kedah,2022,17637
Kedah,2023,16643
Kelantan,2000,7620
Kelantan,2001,7797
Kelantan,2002,8330
Kelantan,2003,8614
Kelantan,2004,8547
Kelantan,2005,8834
Kelantan,2006,8940
Kelantan,2007,9186
Kelantan,2008,9694
Kelantan,2009,10114
Kelantan,2010,9798
Kelantan,2011,10024
Kelantan,2012,9890
Kelantan,2013,10042
Kelantan,2014,10588
Kelantan,2015,10789
Kelantan,2016,10809
Kelantan,2017,11203
Kelantan,2018,11316
Kelantan,2019,11410
Kelantan,2020,10939
Kelantan,2021,13927
Kelantan,2022,13445
Kelantan,2023,11839
Malacca,2000,3725
Malacca,2001,3799
Malacca,2002,3966
Malacca,2003,3964
Malacca,2004,4070
Malacca,2005,4140
Malacca,2006,4146
Malacca,2007,4145
Malacca,2008,4381
Malacca,2009,4472
Malacca,2010,4481
Malacca,2011,4606
Malacca,2012,4575
Malacca,2013,4747
Malacca,2014,4728
Malacca,2015,4959
Malacca,2016,5186
Malacca,2017,5523
Malacca,2018,5407
Malacca,2019,5547
Malacca,2020,5452
Malacca,2021,7094
Malacca,2022,6635
Malacca,2023,6190
Negeri Sembilan,2000,4540
Negeri Sembilan,2001,4724
Negeri Sembilan,2002,5051
Negeri Sembilan,2003,5038
Negeri Sembilan,2004,5067
Negeri Sembilan,2005,5163
Negeri Sembilan,2006,5204
Negeri Sembilan,2007,5181
Negeri Sembilan,2008,5740
Negeri Sembilan,2009,5832
Negeri Sembilan,2010,5814
Negeri Sembilan,2011,5885
Negeri Sembilan,2012,5895
Negeri Sembilan,2013,6213
Negeri Sembilan,2014,6410
Negeri Sembilan,2015,6611
Negeri Sembilan,2016,6810
Negeri Sembilan,2017,7111
Negeri Sembilan,2018,7298
Negeri Sembilan,2019,7168
Negeri Sembilan,2020,7026
Negeri Sembilan,2021,9179
Negeri Sembilan,2022,8645
Negeri Sembilan,2023,8232
Pahang,2000,5507
Pahang,2001,5741
Pahang,2002,6297
Pahang,2003,6291
Pahang,2004,6275
Pahang,2005,6499
Pahang,2006,6670
Pahang,2007,6742
Pahang,2008,7100
Pahang,2009,7428
Pahang,2010,7722
Pahang,2011,7812
Pahang,2012,7791
Pahang,2013,8146
Pahang,2014,8301
Pahang,2015,8471
Pahang,2016,8878
Pahang,2017,9261
Pahang,2018,9246
Pahang,2019,9179
Pahang,2020,8695
Pahang,2021,10382
Pahang,2022,11031
Pahang,2023,10508
Perak,2000,13194
Perak,2001,13577
Perak,2002,14345
Perak,2003,14561
Perak,2004,14401
Perak,2005,14348
Perak,2006,14429
Perak,2007,14913
Perak,2008,15395
Perak,2009,15741
Perak,2010,15440
Perak,2011,16012
Perak,2012,16395
Perak,2013,16386
Perak,2014,16925
Perak,2015,17159
Perak,2016,17820
Perak,2017,18047
Perak,2018,18600
Perak,2019,18740
Perak,2020,17959
Perak,2021,21340
Perak,2022,22358
Perak,2023,20839
Perlis,2000,1307
Perlis,2001,1335
Perlis,2002,1378
Perlis,2003,1416
Perlis,2004,1426
Perlis,2005,1452
Perlis,2006,1462
Perlis,2007,1491
Perlis,2008,1618
Perlis,2009,1580
Perlis,2010,1683
Perlis,2011,1637
Perlis,2012,1655
Perlis,2013,1741
Perlis,2014,1671
Perlis,2015,1767
Perlis,2016,1884
Perlis,2017,2004
Perlis,2018,2042
Perlis,2019,1996
Perlis,2020,1950
Perlis,2021,2234
Perlis,2022,2422
Perlis,2023,2171
Penang,2000,7037
Penang,2001,7162
Penang,2002,7703
Penang,2003,7781
Penang,2004,7813
Penang,2005,7869
Penang,2006,7918
Penang,2007,8316
Penang,2008,8471
Penang,2009,8699
Penang,2010,9063
Penang,2011,9107
Penang,2012,9133
Penang,2013,9538
Penang,2014,9678
Penang,2015,10226
Penang,2016,10729
Penang,2017,10727
Penang,2018,11209
Penang,2019,10896
Penang,2020,10717
Penang,2021,14010
Penang,2022,12937
Penang,2023,12304
Sabah,2000,5203
Sabah,2001,5437
Sabah,2002,5864
Sabah,2003,6061
Sabah,2004,6328
Sabah,2005,6563
Sabah,2006,6702
Sabah,2007,6979
Sabah,2008,7394
Sabah,2009,7565
Sabah,2010,7622
Sabah,2011,8095
Sabah,2012,8066
Sabah,2013,8253
Sabah,2014,12188
Sabah,2015,12511
Sabah,2016,12834
Sabah,2017,13719
Sabah,2018,13940
Sabah,2019,14713
Sabah,2020,14882
Sabah,2021,18884
Sabah,2022,17414
Sabah,2023,16610
Sarawak,2000,8513
Sarawak,2001,8893
Sarawak,2002,8818
Sarawak,2003,9287
Sarawak,2004,9506
Sarawak,2005,9553
Sarawak,2006,9962
Sarawak,2007,10020
Sarawak,2008,10478
Sarawak,2009,11240
Sarawak,2010,10396
Sarawak,2011,11118
Sarawak,2012,11246
