age,sex,population,signed_population
0-4,female,1114.2,1114.2
5-9,female,1232.1,1232.1
10-14,female,1244.2,1244.2
15-19,female,1289.3,1289.3
20-24,female,1425.1,1425.1
25-29,female,1355.1,1355.1
30-34,female,1295.7,1295.7
35-39,female,1332.6,1332.6
40-44,female,1260.5,1260.5
45-49,female,1004.6,1004.6
50-54,female,861.6,861.6
55-59,female,754.9,754.9
60-64,female,681.9,681.9
65-69,female,558.7,558.7
70-74,female,405.4,405.4
75-79,female,259.9,259.9
80-84,female,124.4,124.4
85+,female,73.7,73.7
0-4,male,1192.5,-1192.5
5-9,male,1284.3,-1284.3
10-14,male,1335.1,-1335.1
15-19,male,1415.9,-1415.9
20-24,male,1730.5,-1730.5
25-29,male,1731.6,-1731.6
30-34,male,1593.7,-1593.7
35-39,male,1516.8,-1516.8
40-44,male,1400,-1400
45-49,male,1100.1,-1100.1
50-54,male,897.5,-897.5
55-59,male,751,-751
60-64,male,684.3,-684.3
65-69,male,531.7,-531.7
70-74,male,381,-381
75-79,male,226.3,-226.3
80-84,male,104.5,-104.5
85+,male,80.9,-80.9
