year,value,type
2000,537853,Births
2000,100707,Deaths
2001,505479,Births
2001,104531,Deaths
2002,494538,Births
2002,110367,Deaths
2003,481399,Births
2003,112744,Deaths
2004,481800,Births
2004,113192,Deaths
2005,474473,Births
2005,115436,Deaths
2006,472698,Births
2006,117778,Deaths
2007,479647,Births
2007,120670,Deaths
2008,493203,Births
2008,127098,Deaths
2009,501644,Births
2009,131328,Deaths
2010,491239,Births
2010,130978,Deaths
2011,511594,Births
2011,135463,Deaths
2012,526012,Births
2012,138692,Deaths
2013,503914,Births
2013,142202,Deaths
2014,528612,Births
2014,150318,Deaths
2015,521136,Births
2015,155786,Deaths
2016,508203,Births
2016,162201,Deaths
2017,508685,Births
2017,168168,Deaths
2018,501945,Births
2018,172031,Deaths
2019,489863,Births
2019,174254,Deaths
2020,471504,Births
2020,167181,Deaths
2021,439744,Births
2021,224931,Deaths
2022,423124,Births
2022,206780,Deaths
2023,455761,Births
2023,196965,Deaths
