state,year,births,deaths,natural_increase
Johor,2000,67183,12144,55039
Kedah,2000,41014,8982,32032
Kelantan,2000,40404,7620,32784
Kuala Lumpur,2000,29382,5492,23890
Labuan,2000,1495,167,1328
Malacca,2000,15304,3725,11579
Negeri Sembilan,2000,19243,4540,14703
Pahang,2000,29555,5507,24048
Penang,2000,27337,7037,20300
Perak,2000,48589,13194,35395
Perlis,2000,4651,1307,3344
Sabah,2000,49308,5203,44105
Sarawak,2000,47920,8513,39407
Selangor,2000,91635,12706,78929
Terengganu,2000,24833,4570,20263
Johor,2001,61432,12730,48702
Kedah,2001,38073,9197,28876
Kelantan,2001,38186,7797,30389
Kuala Lumpur,2001,27211,5746,21465
Labuan,2001,1486,159,1327
Malacca,2001,14317,3799,10518
Negeri Sembilan,2001,17670,4724,12946
Pahang,2001,27613,5741,21872
Penang,2001,24712,7162,17550
Perak,2001,43533,13577,29956
Perlis,2001,4340,1335,3005
Sabah,2001,48990,5437,43553
Sarawak,2001,46098,8893,37205
Selangor,2001,87758,13368,74390
Terengganu,2001,24060,4866,19194
Johor,2002,59699,13459,46240
Kedah,2002,36604,9925,26679
Kelantan,2002,37297,8330,28967
Kuala Lumpur,2002,25928,6058,19870
Labuan,2002,1466,200,1266
Malacca,2002,13810,3966,9844
Negeri Sembilan,2002,17647,5051,12596
Pahang,2002,26810,6297,20513
Penang,2002,24775,7703,17072
Perak,2002,42289,14345,27944
Perlis,2002,4225,1378,2847
Sabah,2002,46119,5864,40255
Sarawak,2002,44929,8818,36111
Selangor,2002,89735,13922,75813
Terengganu,2002,23205,5051,18154
Johor,2003,58230,13671,44559
Kedah,2003,35407,10311,25096
Kelantan,2003,35686,8614,27072
Kuala Lumpur,2003,25173,5888,19285
Labuan,2003,1584,220,1364
Malacca,2003,13898,3964,9934
Negeri Sembilan,2003,17272,5038,12234
Pahang,2003,26144,6291,19853
Penang,2003,23467,7781,15686
Perak,2003,39822,14561,25261
Perlis,2003,4058,1416,2642
Sabah,2003,44388,6061,38327
Sarawak,2003,44068,9287,34781
Selangor,2003,89933,14295,75638
Terengganu,2003,22269,5346,16923
Johor,2004,57339,13842,43497
Kedah,2004,35059,10095,24964
Kelantan,2004,35113,8547,26566
Kuala Lumpur,2004,24892,5750,19142
Labuan,2004,1513,212,1301
Malacca,2004,13548,4070,9478
Negeri Sembilan,2004,17085,5067,12018
Pahang,2004,25899,6275,19624
Penang,2004,22943,7813,15130
Perak,2004,39012,14401,24611
Perlis,2004,3964,1426,2538
Sabah,2004,46170,6328,39842
Sarawak,2004,43545,9506,34039
Selangor,2004,93176,14616,78560
Terengganu,2004,22542,5244,17298
Johor,2005,56524,14152,42372
Kedah,2005,34254,10280,23974
Kelantan,2005,34088,8834,25254
Kuala Lumpur,2005,23544,5635,17909
Labuan,2005,1509,209,1300
Malacca,2005,13341,4140,9201
Negeri Sembilan,2005,16838,5163,11675
Pahang,2005,25692,6499,19193
Penang,2005,22559,7869,14690
Perak,2005,37369,14348,23021
Perlis,2005,3932,1452,2480
Sabah,2005,47160,6563,40597
Sarawak,2005,43241,9553,33688
Selangor,2005,92456,15371,77085
