year,sex,age,ethnicity,population
2000,both,overall,overall,23494.9
2000,both,overall,bumi_malay,11785.9
2000,both,overall,bumi_other,2563.3
2000,both,overall,chinese,5761.7
2000,both,overall,indian,1696.1
2000,both,overall,other_citizen,274.7
2000,both,overall,other_noncitizen,1413.1
2000,both,0-4,overall,2833.4
2000,both,0-4,bumi_malay,1579.5
2000,both,0-4,bumi_other,338.9
2000,both,0-4,chinese,546.7
2000,both,0-4,indian,185.7
2000,both,0-4,other_citizen,46.5
2000,both,0-4,other_noncitizen,136.1
2000,both,09-May,overall,2646
2000,both,09-May,bumi_malay,1495.6
2000,both,09-May,bumi_other,335.4
2000,both,09-May,chinese,513.6
2000,both,09-May,indian,171.9
2000,both,09-May,other_citizen,40.5
2000,both,09-May,other_noncitizen,89.1
2000,both,14-Oct,overall,2523.7
2000,both,14-Oct,bumi_malay,1413.4
2000,both,14-Oct,bumi_other,313.3
2000,both,14-Oct,chinese,519.7
2000,both,14-Oct,indian,173.3
2000,both,14-Oct,other_citizen,34.2
2000,both,14-Oct,other_noncitizen,69.6
2000,both,15-19,overall,2335.7
2000,both,15-19,bumi_malay,1259.4
2000,both,15-19,bumi_other,283.3
2000,both,15-19,chinese,503
2000,both,15-19,indian,165.7
2000,both,15-19,other_citizen,28.4
2000,both,15-19,other_noncitizen,95.8
2000,both,20-24,overall,2088.5
2000,both,20-24,bumi_malay,988.8
2000,both,20-24,bumi_other,232.1
2000,both,20-24,chinese,470.2
2000,both,20-24,indian,153
2000,both,20-24,other_citizen,21.3
2000,both,20-24,other_noncitizen,223
2000,both,25-29,overall,1919.5
2000,both,25-29,bumi_malay,854.4
2000,both,25-29,bumi_other,202.5
2000,both,25-29,chinese,456.3
2000,both,25-29,indian,144.5
2000,both,25-29,other_citizen,17.7
2000,both,25-29,other_noncitizen,244.1
2000,both,30-34,overall,1837.1
2000,both,30-34,bumi_malay,837.4
2000,both,30-34,bumi_other,192.2
2000,both,30-34,chinese,463.1
2000,both,30-34,indian,139.9
2000,both,30-34,other_citizen,18.1
2000,both,30-34,other_noncitizen,186.4
2000,both,35-39,overall,1668.2
2000,both,35-39,bumi_malay,760.2
2000,both,35-39,bumi_other,167.2
2000,both,35-39,chinese,448.4
2000,both,35-39,indian,130.8
2000,both,35-39,other_citizen,16.4
2000,both,35-39,other_noncitizen,145.2
2000,both,40-44,overall,1451
2000,both,40-44,bumi_malay,669.1
2000,both,40-44,bumi_other,131.2
2000,both,40-44,chinese,428.4
2000,both,40-44,indian,121.5
2000,both,40-44,other_citizen,14.6
2000,both,40-44,other_noncitizen,86.2
2000,both,45-49,overall,1205.1
2000,both,45-49,bumi_malay,556.6
2000,both,45-49,bumi_other,103.2
2000,both,45-49,chinese,380.8
2000,both,45-49,indian,101.9
2000,both,45-49,other_citizen,11.9
2000,both,45-49,other_noncitizen,50.7
2000,both,50-54,overall,877.7
2000,both,50-54,bumi_malay,399.8
2000,both,50-54,bumi_other,76.7
2000,both,50-54,chinese,296.1
2000,both,50-54,indian,67
2000,both,50-54,other_citizen,7.5
2000,both,50-54,other_noncitizen,30.6
2000,both,55-59,overall,658
2000,both,55-59,bumi_malay,297.8
2000,both,55-59,bumi_other,57.5
2000,both,55-59,chinese,234.5
2000,both,55-59,indian,46.9
2000,both,55-59,other_citizen,5.2
2000,both,55-59,other_noncitizen,16.1
2000,both,60-64,overall,519.3
2000,both,60-64,bumi_malay,236.1
2000,both,60-64,bumi_other,46.9
2000,both,60-64,chinese,182.9
2000,both,60-64,indian,36.6
2000,both,60-64,other_citizen,4.2
2000,both,60-64,other_noncitizen,12.7
2000,both,65-69,overall,378.3
2000,both,65-69,bumi_malay,173.4
2000,both,65-69,bumi_other,34.8
2000,both,65-69,chinese,133.4
2000,both,65-69,indian,25.4
2000,both,65-69,other_citizen,3
2000,both,65-69,other_noncitizen,8.3
2000,both,70-74,overall,264.2
2000,both,70-74,bumi_malay,128
2000,both,70-74,bumi_other,23.3
2000,both,70-74,chinese,87.6
2000,both,70-74,indian,15.9
2000,both,70-74,other_citizen,2.3
2000,both,70-74,other_noncitizen,7
2000,both,75-79,overall,142.7
2000,both,75-79,bumi_malay,67.6
2000,both,75-79,bumi_other,13.4
2000,both,75-79,chinese,46.9
2000,both,75-79,indian,8.7
2000,both,75-79,other_citizen,1.3
2000,both,75-79,other_noncitizen,4.7
2000,both,80-84,overall,87.9
2000,both,80-84,bumi_malay,42.6
2000,both,80-84,bumi_other,6.7
2000,both,80-84,chinese,29.2
2000,both,80-84,indian,4.5
2000,both,80-84,other_citizen,0.9
2000,both,80-84,other_noncitizen,3.9
2000,both,85+,overall,58.8
2000,both,85+,bumi_malay,26.4
2000,both,85+,bumi_other,4.7
2000,both,85+,chinese,21
2000,both,85+,indian,2.8
2000,both,85+,other_citizen,0.6
2000,both,85+,other_noncitizen,3.4
2000,female,overall,overall,11529.3
2000,female,overall,bumi_malay,5850.3
2000,female,overall,bumi_other,1267.6
2000,female,overall,chinese,2811.2
