year,age_group,ethnicity,population
2000,0-4,bumi_malay,1579.5
2000,0-4,bumi_other,338.9
2000,0-4,chinese,546.7
2000,0-4,indian,185.7
2000,0-4,other_citizen,46.5
2000,0-4,other_noncitizen,136.1
2000,5-9,bumi_malay,1495.6
2000,5-9,bumi_other,335.4
2000,5-9,chinese,513.6
2000,5-9,indian,171.9
2000,5-9,other_citizen,40.5
2000,5-9,other_noncitizen,89.1
2000,10-14,bumi_malay,1413.4
2000,10-14,bumi_other,313.3
2000,10-14,chinese,519.7
2000,10-14,indian,173.3
2000,10-14,other_citizen,34.2
2000,10-14,other_noncitizen,69.6
2000,15-19,bumi_malay,1259.4
2000,15-19,bumi_other,283.3
2000,15-19,chinese,503
2000,15-19,indian,165.7
2000,15-19,other_citizen,28.4
2000,15-19,other_noncitizen,95.8
2000,20-24,bumi_malay,988.8
2000,20-24,bumi_other,232.1
2000,20-24,chinese,470.2
2000,20-24,indian,153
2000,20-24,other_citizen,21.3
2000,20-24,other_noncitizen,223
2000,25-29,bumi_malay,854.4
2000,25-29,bumi_other,202.5
2000,25-29,chinese,456.3
2000,25-29,indian,144.5
2000,25-29,other_citizen,17.7
2000,25-29,other_noncitizen,244.1
2000,30-34,bumi_malay,837.4
2000,30-34,bumi_other,192.2
2000,30-34,chinese,463.1
2000,30-34,indian,139.9
2000,30-34,other_citizen,18.1
2000,30-34,other_noncitizen,186.4
2000,35-39,bumi_malay,760.2
2000,35-39,bumi_other,167.2
2000,35-39,chinese,448.4
2000,35-39,indian,130.8
2000,35-39,other_citizen,16.4
2000,35-39,other_noncitizen,145.2
2000,40-44,bumi_malay,669.1
2000,40-44,bumi_other,131.2
2000,40-44,chinese,428.4
2000,40-44,indian,121.5
2000,40-44,other_citizen,14.6
2000,40-44,other_noncitizen,86.2
2000,45-49,bumi_malay,556.6
2000,45-49,bumi_other,103.2
2000,45-49,chinese,380.8
2000,45-49,indian,101.9
2000,45-49,other_citizen,11.9
2000,45-49,other_noncitizen,50.7
2000,50-54,bumi_malay,399.8
2000,50-54,bumi_other,76.7
2000,50-54,chinese,296.1
2000,50-54,indian,67
2000,50-54,other_citizen,7.5
2000,50-54,other_noncitizen,30.6
2000,55-59,bumi_malay,297.8
2000,55-59,bumi_other,57.5
2000,55-59,chinese,234.5
2000,55-59,indian,46.9
2000,55-59,other_citizen,5.2
2000,55-59,other_noncitizen,16.1
2000,60-64,bumi_malay,236.1
2000,60-64,bumi_other,46.9
2000,60-64,chinese,182.9
2000,60-64,indian,36.6
2000,60-64,other_citizen,4.2
2000,60-64,other_noncitizen,12.7
2000,65-69,bumi_malay,173.4
2000,65-69,bumi_other,34.8
2000,65-69,chinese,133.4
2000,65-69,indian,25.4
2000,65-69,other_citizen,3
2000,65-69,other_noncitizen,8.3
2000,70-74,bumi_malay,128
2000,70-74,bumi_other,23.3
2000,70-74,chinese,87.6
2000,70-74,indian,15.9
2000,70-74,other_citizen,2.3
2000,70-74,other_noncitizen,7
2000,75-79,bumi_malay,67.6
2000,75-79,bumi_other,13.4
2000,75-79,chinese,46.9
2000,75-79,indian,8.7
2000,75-79,other_citizen,1.3
2000,75-79,other_noncitizen,4.7
2000,80-84,bumi_malay,42.6
2000,80-84,bumi_other,6.7
2000,80-84,chinese,29.2
2000,80-84,indian,4.5
2000,80-84,other_citizen,0.9
2000,80-84,other_noncitizen,3.9
2000,85+,bumi_malay,26.4
2000,85+,bumi_other,4.7
2000,85+,chinese,21
2000,85+,indian,2.8
2000,85+,other_citizen,0.6
2000,85+,other_noncitizen,3.4
2005,0-4,bumi_malay,1463.8
2005,0-4,bumi_other,340.8
2005,0-4,chinese,485.4
2005,0-4,indian,166.2
2005,0-4,other_citizen,39.6
2005,0-4,other_noncitizen,59.9
2005,5-9,bumi_malay,1539.3
2005,5-9,bumi_other,355.1
2005,5-9,chinese,534.6
2005,5-9,indian,181.3
2005,5-9,other_citizen,39.8
2005,5-9,other_noncitizen,91.5
2005,10-14,bumi_malay,1499.8
2005,10-14,bumi_other,354.7
2005,10-14,chinese,531.9
2005,10-14,indian,176.5
2005,10-14,other_citizen,36.1
2005,10-14,other_noncitizen,143
2005,15-19,bumi_malay,1404.7
2005,15-19,bumi_other,320.8
2005,15-19,chinese,527.9
2005,15-19,indian,179.3
2005,15-19,other_citizen,31.9
2005,15-19,other_noncitizen,254.5
2005,20-24,bumi_malay,1256.9
2005,20-24,bumi_other,289.3
2005,20-24,chinese,517.3
2005,20-24,indian,171.8
2005,20-24,other_citizen,26.1
2005,20-24,other_noncitizen,300.3
2005,25-29,bumi_malay,981.2
2005,25-29,bumi_other,227.6
2005,25-29,chinese,476.9
2005,25-29,indian,151.3
2005,25-29,other_citizen,18.1
2005,25-29,other_noncitizen,280.1
2005,30-34,bumi_malay,868.3
2005,30-34,bumi_other,205.5
2005,30-34,chinese,462.6
2005,30-34,indian,139.6
2005,30-34,other_citizen,15.2
2005,30-34,other_noncitizen,247
2005,35-39,bumi_malay,832.9
2005,35-39,bumi_other,192.4
2005,35-39,chinese,463.5
2005,35-39,indian,135.1
2005,35-39,other_citizen,15.2
2005,35-39,other_noncitizen,176.8
2005,40-44,bumi_malay,763.2
2005,40-44,bumi_other,168.4
2005,40-44,chinese,445.1
2005,40-44,indian,129.2
2005,40-44,other_citizen,13.9
2005,40-44,other_noncitizen,124.6
2005,45-49,bumi_malay,664.5
2005,45-49,bumi_other,133.2
2005,45-49,chinese,413.6
2005,45-49,indian,116.8
2005,45-49,other_citizen,12.4
2005,45-49,other_noncitizen,75.6
2005,50-54,bumi_malay,538.6
2005,50-54,bumi_other,99
2005,50-54,chinese,357.8
2005,50-54,indian,93.2
2005,50-54,other_citizen,9.7
2005,50-54,other_noncitizen,43.8
2005,55-59,bumi_malay,396.2
2005,55-59,bumi_other,73.4
2005,55-59,chinese,289.3
2005,55-59,indian,65
2005,55-59,other_citizen,6.2
2005,55-59,other_noncitizen,27.6
2005,60-64,bumi_malay,274.6
2005,60-64,bumi_other,56.2
2005,60-64,chinese,214.1
