state,year,sex,ethnicity,population
Johor,2000,both,overall,2762.5
Johor,2000,both,bumi_malay,1452.5
Johor,2000,both,bumi_other,32.8
Johor,2000,both,chinese,923.2
Johor,2000,both,indian,178.9
Johor,2000,both,other_citizen,17.4
Johor,2000,both,other_noncitizen,157.7
Johor,2000,female,overall,1332.5
Johor,2000,female,bumi_malay,718.2
Johor,2000,female,bumi_other,15.6
Johor,2000,female,chinese,446.6
Johor,2000,female,indian,87.1
Johor,2000,female,other_citizen,8
Johor,2000,female,other_noncitizen,56.9
Johor,2000,male,overall,1430.1
Johor,2000,male,bumi_malay,734.3
Johor,2000,male,bumi_other,17.2
Johor,2000,male,chinese,476.6
Johor,2000,male,indian,91.8
Johor,2000,male,other_citizen,9.4
Johor,2000,male,other_noncitizen,100.7
Johor,2001,both,overall,2829.9
Johor,2001,both,bumi_malay,1486.9
Johor,2001,both,bumi_other,34.5
Johor,2001,both,chinese,939.1
Johor,2001,both,indian,183.3
Johor,2001,both,other_citizen,17.5
Johor,2001,both,other_noncitizen,168.5
Johor,2001,female,overall,1361.5
Johor,2001,female,bumi_malay,734.6
Johor,2001,female,bumi_other,16.3
Johor,2001,female,chinese,453.3
Johor,2001,female,indian,89.3
Johor,2001,female,other_citizen,8.1
Johor,2001,female,other_noncitizen,60
Johor,2001,male,overall,1468.4
Johor,2001,male,bumi_malay,752.3
Johor,2001,male,bumi_other,18.2
Johor,2001,male,chinese,485.8
Johor,2001,male,indian,94.1
Johor,2001,male,other_citizen,9.5
Johor,2001,male,other_noncitizen,108.5
Johor,2002,both,overall,2893.6
Johor,2002,both,bumi_malay,1519.9
Johor,2002,both,bumi_other,36.3
Johor,2002,both,chinese,952.6
Johor,2002,both,indian,187.7
Johor,2002,both,other_citizen,17.6
Johor,2002,both,other_noncitizen,179.5
Johor,2002,female,overall,1388.6
Johor,2002,female,bumi_malay,750.4
Johor,2002,female,bumi_other,17.1
Johor,2002,female,chinese,458.7
Johor,2002,female,indian,91.3
Johor,2002,female,other_citizen,8.1
Johor,2002,female,other_noncitizen,63.1
Johor,2002,male,overall,1505
Johor,2002,male,bumi_malay,769.5
Johor,2002,male,bumi_other,19.2
Johor,2002,male,chinese,493.9
Johor,2002,male,indian,96.4
Johor,2002,male,other_citizen,9.5
Johor,2002,male,other_noncitizen,116.4
Johor,2003,both,overall,2954
Johor,2003,both,bumi_malay,1551
Johor,2003,both,bumi_other,38.1
Johor,2003,both,chinese,965.2
Johor,2003,both,indian,191.7
Johor,2003,both,other_citizen,17.6
Johor,2003,both,other_noncitizen,190.3
Johor,2003,female,overall,1414.2
Johor,2003,female,bumi_malay,765.2
Johor,2003,female,bumi_other,17.8
Johor,2003,female,chinese,463.7
Johor,2003,female,indian,93.2
Johor,2003,female,other_citizen,8.1
Johor,2003,female,other_noncitizen,66.1
Johor,2003,male,overall,1539.8
Johor,2003,male,bumi_malay,785.8
Johor,2003,male,bumi_other,20.3
Johor,2003,male,chinese,501.5
Johor,2003,male,indian,98.5
Johor,2003,male,other_citizen,9.5
Johor,2003,male,other_noncitizen,124.2
Johor,2004,both,overall,3014.6
Johor,2004,both,bumi_malay,1582.8
Johor,2004,both,bumi_other,40.1
Johor,2004,both,chinese,976.9
Johor,2004,both,indian,195.8
Johor,2004,both,other_citizen,17.6
Johor,2004,both,other_noncitizen,201.4
Johor,2004,female,overall,1440.4
Johor,2004,female,bumi_malay,780.6
Johor,2004,female,bumi_other,18.7
Johor,2004,female,chinese,468.4
Johor,2004,female,indian,95.3
Johor,2004,female,other_citizen,8.1
Johor,2004,female,other_noncitizen,69.2
Johor,2004,male,overall,1574.3
Johor,2004,male,bumi_malay,802.2
Johor,2004,male,bumi_other,21.4
Johor,2004,male,chinese,508.5
Johor,2004,male,indian,100.5
Johor,2004,male,other_citizen,9.5
Johor,2004,male,other_noncitizen,132.2
Johor,2005,both,overall,3074.4
Johor,2005,both,bumi_malay,1613.9
Johor,2005,both,bumi_other,42.2
Johor,2005,both,chinese,988.5
Johor,2005,both,indian,199.7
Johor,2005,both,other_citizen,17.5
Johor,2005,both,other_noncitizen,212.5
Johor,2005,female,overall,1465.8
Johor,2005,female,bumi_malay,795.4
Johor,2005,female,bumi_other,19.7
Johor,2005,female,chinese,473
Johor,2005,female,indian,97.2
Johor,2005,female,other_citizen,8.1
Johor,2005,female,other_noncitizen,72.4
Johor,2005,male,overall,1608.6
Johor,2005,male,bumi_malay,818.5
Johor,2005,male,bumi_other,22.6
Johor,2005,male,chinese,515.5
Johor,2005,male,indian,102.5
Johor,2005,male,other_citizen,9.4
Johor,2005,male,other_noncitizen,140.1
Johor,2006,both,overall,3134.4
Johor,2006,both,bumi_malay,1645
Johor,2006,both,bumi_other,44.5
Johor,2006,both,chinese,999.9
Johor,2006,both,indian,203.5
Johor,2006,both,other_citizen,17.6
Johor,2006,both,other_noncitizen,223.8
Johor,2006,female,overall,1491.5
Johor,2006,female,bumi_malay,810.3
Johor,2006,female,bumi_other,20.7
Johor,2006,female,chinese,477.7
Johor,2006,female,indian,99
Johor,2006,female,other_citizen,8.2
Johor,2006,female,other_noncitizen,75.7
Johor,2006,male,overall,1642.9
Johor,2006,male,bumi_malay,834.7
Johor,2006,male,bumi_other,23.8
Johor,2006,male,chinese,522.2
Johor,2006,male,indian,104.6
Johor,2006,male,other_citizen,9.5
Johor,2006,male,other_noncitizen,148.1
Johor,2007,both,overall,3193.5
Johor,2007,both,bumi_malay,1675.7
Johor,2007,both,bumi_other,46.8
Johor,2007,both,chinese,1010.8
Johor,2007,both,indian,207.3
Johor,2007,both,other_citizen,17.7
Johor,2007,both,other_noncitizen,235.2
Johor,2007,female,overall,1516.7
Johor,2007,female,bumi_malay,825
Johor,2007,female,bumi_other,21.7
Johor,2007,female,chinese,481.9
Johor,2007,female,indian,100.8
Johor,2007,female,other_citizen,8.2
Johor,2007,female,other_noncitizen,79
Johor,2007,male,overall,1676.8
Johor,2007,male,bumi_malay,850.6
Johor,2007,male,bumi_other,25.1
Johor,2007,male,chinese,528.8
Johor,2007,male,indian,106.5
Johor,2007,male,other_citizen,9.5
Johor,2007,male,other_noncitizen,156.2
Johor,2008,both,overall,3252.3
Johor,2008,both,bumi_malay,1705.7
Johor,2008,both,bumi_other,49.1
Johor,2008,both,chinese,1021.9
Johor,2008,both,indian,211.1
Johor,2008,both,other_citizen,17.9
Johor,2008,both,other_noncitizen,246.6
Johor,2008,female,overall,1541.8
Johor,2008,female,bumi_malay,839.5
Johor,2008,female,bumi_other,22.6
Johor,2008,female,chinese,486.4
Johor,2008,female,indian,102.6
Johor,2008,female,other_citizen,8.4
Johor,2008,female,other_noncitizen,82.3
Johor,2008,male,overall,1710.5
Johor,2008,male,bumi_malay,866.2
Johor,2008,male,bumi_other,26.4
Johor,2008,male,chinese,535.4
Johor,2008,male,indian,108.6
Johor,2008,male,other_citizen,9.6
Johor,2008,male,other_noncitizen,164.3
Johor,2009,both,overall,3309.4
Johor,2009,both,bumi_malay,1735.3
Johor,2009,both,bumi_other,51.5
Johor,2009,both,chinese,1031.6
Johor,2009,both,indian,214.8
Johor,2009,both,other_citizen,18.2
Johor,2009,both,other_noncitizen,258
Johor,2009,female,overall,1566
Johor,2009,female,bumi_malay,853.5
Johor,2009,female,bumi_other,23.7
Johor,2009,female,chinese,490.3
Johor,2009,female,indian,104.4
Johor,2009,female,other_citizen,8.5
Johor,2009,female,other_noncitizen,85.6
Johor,2009,male,overall,1743.4
Johor,2009,male,bumi_malay,881.8
Johor,2009,male,bumi_other,27.8
Johor,2009,male,chinese,541.2
Johor,2009,male,indian,110.5
Johor,2009,male,other_citizen,9.7
Johor,2009,male,other_noncitizen,172.4
Johor,2010,both,overall,3362.9
Johor,2010,both,bumi_malay,1766.5
Johor,2010,both,bumi_other,53.9
Johor,2010,both,chinese,1041.1
Johor,2010,both,indian,218.5
Johor,2010,both,other_citizen,13.6
Johor,2010,both,other_noncitizen,269.4
Johor,2010,female,overall,1588.6
Johor,2010,female,bumi_malay,868.2
Johor,2010,female,bumi_other,24.8
Johor,2010,female,chinese,494.1
Johor,2010,female,indian,106.1
Johor,2010,female,other_citizen,6.4
Johor,2010,female,other_noncitizen,88.9
Johor,2010,male,overall,1774.4
Johor,2010,male,bumi_malay,898.3
Johor,2010,male,bumi_other,29.1
Johor,2010,male,chinese,547
Johor,2010,male,indian,112.4
Johor,2010,male,other_citizen,7.2
Johor,2010,male,other_noncitizen,180.4
Johor,2011,both,overall,3410.5
Johor,2011,both,bumi_malay,1792.3
Johor,2011,both,bumi_other,54.9
Johor,2011,both,chinese,1049.9
Johor,2011,both,indian,220.2
Johor,2011,both,other_citizen,14.4
Johor,2011,both,other_noncitizen,278.8
Johor,2011,female,overall,1611
Johor,2011,female,bumi_malay,881.2
Johor,2011,female,bumi_other,25.6
Johor,2011,female,chinese,498.7
Johor,2011,female,indian,107
Johor,2011,female,other_citizen,6.8
Johor,2011,female,other_noncitizen,91.8
Johor,2011,male,overall,1799.4
Johor,2011,male,bumi_malay,911.1
Johor,2011,male,bumi_other,29.3
Johor,2011,male,chinese,551.2
Johor,2011,male,indian,113.2
Johor,2011,male,other_citizen,7.6
Johor,2011,male,other_noncitizen,187
Johor,2012,both,overall,3450.4
Johor,2012,both,bumi_malay,1812.5
Johor,2012,both,bumi_other,56
Johor,2012,both,chinese,1057.2
Johor,2012,both,indian,221.9
Johor,2012,both,other_citizen,15
Johor,2012,both,other_noncitizen,287.8
Johor,2012,female,overall,1628.7
Johor,2012,female,bumi_malay,890.1
Johor,2012,female,bumi_other,26.6
Johor,2012,female,chinese,502.4
Johor,2012,female,indian,108
Johor,2012,female,other_citizen,7.1
Johor,2012,female,other_noncitizen,94.6
Johor,2012,male,overall,1821.7
Johor,2012,male,bumi_malay,922.4
Johor,2012,male,bumi_other,29.4
Johor,2012,male,chinese,554.8
Johor,2012,male,indian,113.9
Johor,2012,male,other_citizen,7.9
Johor,2012,male,other_noncitizen,193.2
Johor,2013,both,overall,3474.4
Johor,2013,both,bumi_malay,1832.8
Johor,2013,both,bumi_other,57.5
Johor,2013,both,chinese,1065.7
Johor,2013,both,indian,224.2
Johor,2013,both,other_citizen,16.1
Johor,2013,both,other_noncitizen,278.5
Johor,2013,female,overall,1644.1
Johor,2013,female,bumi_malay,900.7
Johor,2013,female,bumi_other,27.2
Johor,2013,female,chinese,506.7
Johor,2013,female,indian,109.2
Johor,2013,female,other_citizen,7.9
Johor,2013,female,other_noncitizen,92.8
Johor,2013,male,overall,1830.3
Johor,2013,male,bumi_malay,932.1
Johor,2013,male,bumi_other,30.3
Johor,2013,male,chinese,559
Johor,2013,male,indian,115
Johor,2013,male,other_citizen,8.3
Johor,2013,male,other_noncitizen,185.7
Johor,2014,both,overall,3559.8
Johor,2014,both,bumi_malay,1858.7
Johor,2014,both,bumi_other,58.3
Johor,2014,both,chinese,1072.8
Johor,2014,both,indian,227.6
Johor,2014,both,other_citizen,17.2
Johor,2014,both,other_noncitizen,325.1
Johor,2014,female,overall,1676.4
Johor,2014,female,bumi_malay,914.3
Johor,2014,female,bumi_other,27.4
Johor,2014,female,chinese,510.4
Johor,2014,female,indian,110.7
Johor,2014,female,other_citizen,8.6
Johor,2014,female,other_noncitizen,104.9
Johor,2014,male,overall,1883.4
Johor,2014,male,bumi_malay,944.4
Johor,2014,male,bumi_other,30.9
Johor,2014,male,chinese,562.4
Johor,2014,male,indian,116.9
Johor,2014,male,other_citizen,8.6
Johor,2014,male,other_noncitizen,220.2
Johor,2015,both,overall,3610.3
Johor,2015,both,bumi_malay,1886.5
Johor,2015,both,bumi_other,59.3
Johor,2015,both,chinese,1078.8
Johor,2015,both,indian,230.8
Johor,2015,both,other_citizen,18
Johor,2015,both,other_noncitizen,336.8
Johor,2015,female,overall,1700.5
Johor,2015,female,bumi_malay,929
Johor,2015,female,bumi_other,28
Johor,2015,female,chinese,513.8
Johor,2015,female,indian,112.6
Johor,2015,female,other_citizen,8.9
Johor,2015,female,other_noncitizen,108.3
Johor,2015,male,overall,1909.8
Johor,2015,male,bumi_malay,957.5
Johor,2015,male,bumi_other,31.3
Johor,2015,male,chinese,565
Johor,2015,male,indian,118.2
Johor,2015,male,other_citizen,9.1
Johor,2015,male,other_noncitizen,228.6
Johor,2016,both,overall,3651.8
Johor,2016,both,bumi_malay,1908.6
Johor,2016,both,bumi_other,59
Johor,2016,both,chinese,1085.4
Johor,2016,both,indian,232.5
Johor,2016,both,other_citizen,18.4
Johor,2016,both,other_noncitizen,347.4
Johor,2016,female,overall,1720.7
Johor,2016,female,bumi_malay,940.4
Johor,2016,female,bumi_other,27.6
Johor,2016,female,chinese,517.3
Johor,2016,female,indian,113.7
Johor,2016,female,other_citizen,9.2
Johor,2016,female,other_noncitizen,112.4
Johor,2016,male,overall,1931.1
Johor,2016,male,bumi_malay,968.2
Johor,2016,male,bumi_other,31.4
Johor,2016,male,chinese,568.1
Johor,2016,male,indian,118.9
Johor,2016,male,other_citizen,9.3
Johor,2016,male,other_noncitizen,235.1
Johor,2017,both,overall,3697
Johor,2017,both,bumi_malay,1937
Johor,2017,both,bumi_other,60.9
Johor,2017,both,chinese,1092.8
Johor,2017,both,indian,235.6
Johor,2017,both,other_citizen,18.6
Johor,2017,both,other_noncitizen,352.5
Johor,2017,female,overall,1744.5
Johor,2017,female,bumi_malay,956
Johor,2017,female,bumi_other,28.6
Johor,2017,female,chinese,521.6
Johor,2017,female,indian,115.3
Johor,2017,female,other_citizen,9.4
Johor,2017,female,other_noncitizen,113.9
Johor,2017,male,overall,1952.6
Johor,2017,male,bumi_malay,981
Johor,2017,male,bumi_other,32.3
Johor,2017,male,chinese,571.2
Johor,2017,male,indian,120.4
Johor,2017,male,other_citizen,9.2
Johor,2017,male,other_noncitizen,238.6
Johor,2018,both,overall,3749.4
Johor,2018,both,bumi_malay,1971.3
Johor,2018,both,bumi_other,64.5
Johor,2018,both,chinese,1098.6
Johor,2018,both,indian,239.1
Johor,2018,both,other_citizen,18.6
Johor,2018,both,other_noncitizen,357.2
Johor,2018,female,overall,1773
Johor,2018,female,bumi_malay,973.6
Johor,2018,female,bumi_other,30.6
Johor,2018,female,chinese,524.8
Johor,2018,female,indian,117.8
Johor,2018,female,other_citizen,9.6
Johor,2018,female,other_noncitizen,116.3
Johor,2018,male,overall,1976.4
Johor,2018,male,bumi_malay,997.7
Johor,2018,male,bumi_other,33.9
Johor,2018,male,chinese,573.8
Johor,2018,male,indian,121.3
Johor,2018,male,other_citizen,9
Johor,2018,male,other_noncitizen,240.8
Johor,2019,both,overall,3761.2
Johor,2019,both,bumi_malay,2005.5
Johor,2019,both,bumi_other,68
Johor,2019,both,chinese,1103.9
Johor,2019,both,indian,241.8
Johor,2019,both,other_citizen,18.5
Johor,2019,both,other_noncitizen,323.8
