state,year,population,area
Johor,2000,2762.5,19210
Johor,2001,2829.9,19210
Johor,2002,2893.6,19210
Johor,2003,2954,19210
Johor,2004,3014.6,19210
Johor,2005,3074.4,19210
Johor,2006,3134.4,19210
Johor,2007,3193.5,19210
Johor,2008,3252.3,19210
Johor,2009,3309.4,19210
Johor,2010,3362.9,19210
Johor,2011,3410.5,19210
Johor,2012,3450.4,19210
Johor,2013,3474.4,19210
Johor,2014,3559.8,19210
Johor,2015,3610.3,19210
Johor,2016,3651.8,19210
Johor,2017,3697,19210
Johor,2018,3749.4,19210
Johor,2019,3761.2,19210
Johor,2020,4009.7,19210
Johor,2021,4020,19210
Johor,2022,4028.3,19210
Johor,2023,4107.2,19210
Johor,2024,4184.4,19210
Johor,2025,4205.9,19210
Kedah,2000,1671.9,9500
Kedah,2001,1703.9,9500
Kedah,2002,1734.8,9500
Kedah,2003,1763.7,9500
Kedah,2004,1792.4,9500
Kedah,2005,1820.3,9500
Kedah,2006,1847.5,9500
Kedah,2007,1874.2,9500
Kedah,2008,1900.2,9500
Kedah,2009,1925.3,9500
Kedah,2010,1949.3,9500
Kedah,2011,1971.8,9500
Kedah,2012,2001.1,9500
Kedah,2013,2039.8,9500
Kedah,2014,2062.7,9500
Kedah,2015,2096.5,9500
Kedah,2016,2119.7,9500
Kedah,2017,2143.9,9500
Kedah,2018,2163,9500
Kedah,2019,2173.7,9500
Kedah,2020,2131.4,9500
Kedah,2021,2151.7,9500
Kedah,2022,2163.1,9500
Kedah,2023,2189.3,9500
Kedah,2024,2217.1,9500
Kedah,2025,2228,9500
Kelantan,2000,1361.4,15099
Kelantan,2001,1390,15099
Kelantan,2002,1416.7,15099
Kelantan,2003,1440.5,15099
Kelantan,2004,1463.8,15099
Kelantan,2005,1486.3,15099
Kelantan,2006,1507.6,15099
Kelantan,2007,1529.1,15099
Kelantan,2008,1549.8,15099
Kelantan,2009,1570,15099
Kelantan,2010,1589.9,15099
Kelantan,2011,1618.8,15099
Kelantan,2012,1651,15099
Kelantan,2013,1683.5,15099
Kelantan,2014,1723.4,15099
Kelantan,2015,1760.6,15099
Kelantan,2016,1796.7,15099
Kelantan,2017,1829,15099
Kelantan,2018,1860.5,15099
Kelantan,2019,1883.8,15099
Kelantan,2020,1792.5,15099
